genre,artist_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,max_improvement
Country,Brett Eldredge,71,0.218,0.423,211720,0.813,1.62e-06,A,0.0732,-5.011,Major,0.0507,173.995,4/4,0.421,0.19521319516428312
R&B,Brent Faiyaz,52,0.308,0.807,248293,0.37,0.0,E,0.191,-10.783,Minor,0.0462,123.948,4/4,0.792,15.49764638322757
Children's Music,The Wayfarers,0,0.573,0.689,209827,0.207,0.0,D,0.0984,-14.419,Major,0.11,124.752,4/4,0.722,23.86206700754426
Classical,Nobuo Uematsu,38,0.934,0.254,484120,0.238,0.843,G,0.0992,-11.944,Major,0.0339,131.318,4/4,0.143,5.337588856201745
World,Hillsong Worship,23,0.00501,0.142,170667,0.567,0.00381,B,0.593,-7.584,Major,0.0407,149.158,4/4,0.167,17.957190769971934
Classical,Ludwig van Beethoven,19,0.99,0.552,68853,0.37,0.729,G,0.153,-20.085,Major,0.0771,112.917,4/4,0.88,10.510476892130535
Classical,Wolfgang Amadeus Mozart,31,0.973,0.422,506565,0.0488,0.703,D,0.113,-23.858,Major,0.0509,72.945,4/4,0.319,6.629766412338146
Rap,Machine Gun Kelly,51,0.0157,0.658,210693,0.7,2.55e-06,A#,0.0332,-5.212,Minor,0.258,73.606,4/4,0.188,13.335004625071571
Hip-Hop,Kevin Gates,58,0.152,0.554,202630,0.702,0.0,C#,0.126,-3.839,Major,0.285,143.078,4/4,0.553,12.342341615089017
Ska,Westbound Train,13,0.116,0.687,248160,0.594,0.0,A,0.189,-4.294,Minor,0.0356,116.145,4/4,0.726,9.798834406401628
Hip-Hop,Janelle Monáe,61,0.0758,0.922,226288,0.485,3.39e-05,C#,0.601,-7.259,Major,0.096,120.156,4/4,0.395,12.65303505610643
Children's Music,Juice Music,0,0.894,0.373,114373,0.236,0.0,A,0.317,-8.488,Major,0.0274,89.7,3/4,0.583,27.93432787643964
Anime,Kevin Penkin,32,0.978,0.466,120500,0.225,0.871,F,0.0856,-19.92,Major,0.0418,173.507,4/4,0.765,10.190886882761596
Pop,EDEN,60,0.71,0.505,230512,0.437,0.000169,B,0.114,-7.756,Minor,0.044,125.379,4/4,0.247,10.142837068211401
Electronic,Rusko,25,0.00855,0.823,221540,0.824,0.000562,F,0.341,-4.279,Minor,0.248,139.99,4/4,0.802,17.843916905811607
Rock,Kings of Leon,58,0.0262,0.464,239053,0.738,0.00202,A,0.143,-7.304,Major,0.0413,119.764,4/4,0.369,9.279572376550535
Movie,Randy Newman,28,0.649,0.569,130347,0.481,0.725,C,0.582,-9.804,Minor,0.0349,91.305,4/4,0.939,-0.9025804129746883
Movie,Justin Hurwitz,40,0.921,0.202,82467,0.0746,0.943,D,0.0641,-33.229,Major,0.0437,64.216,4/4,0.0336,12.038196724914188
Soul,Tone Stith,44,0.0169,0.599,215000,0.685,0.0,F#,0.134,-6.329,Major,0.0393,111.989,3/4,0.666,6.90968409847509
Blues,Queens of the Stone Age,53,0.117,0.444,214067,0.989,0.0445,C#,0.347,-3.746,Major,0.112,131.327,4/4,0.466,3.780032601516313
Rock,Soccer Mommy,56,0.812,0.424,187242,0.197,0.0114,D,0.112,-12.381,Major,0.0302,99.626,4/4,0.094,12.212513092086311
Ska,Soda Stereo,42,0.602,0.449,79467,0.301,1.11e-06,A,0.0932,-12.877,Major,0.0286,137.735,4/4,0.0967,2.4420524743427556
Soundtrack,Michael Giacchino,25,0.867,0.281,206680,0.258,0.903,C,0.248,-15.73,Major,0.0412,100.501,4/4,0.0389,12.265755486542384
Comedy,Bill Hicks,15,0.741,0.607,32400,0.76,0.0,A,0.174,-9.851,Minor,0.772,89.334,5/4,0.322,10.976803261421637
Rock,Explosions In The Sky,54,0.595,0.464,218960,0.342,0.88,F#,0.0741,-19.402,Major,0.0375,120.0,4/4,0.0619,9.701683220491693
Classical,Wolfgang Amadeus Mozart,28,0.991,0.255,466000,0.0324,0.0261,D#,0.113,-25.862,Major,0.0486,100.145,4/4,0.127,7.669246308747998
Soul,Ayelle,55,0.284,0.69,160000,0.332,0.000513,F,0.0931,-11.148,Minor,0.178,148.025,4/4,0.477,6.496273406492082
World,Elevation Worship,42,0.0155,0.556,317587,0.86,0.0,D#,0.3,-6.447,Major,0.0407,103.974,4/4,0.432,9.006690823461845
Classical,Jóhann Jóhannsson,38,0.99,0.445,112556,0.0523,0.97,E,0.0878,-26.717,Minor,0.0796,100.322,3/4,0.0351,3.692614717076611
Rap,Metro Boomin,73,0.44,0.52,230240,0.594,0.0,B,0.185,-8.81,Minor,0.462,129.216,5/4,0.393,2.987022696211284
Children's Music,Red Hot Chili Peppers,77,0.0779,0.595,215907,0.717,0.00274,C,0.108,-4.803,Major,0.0295,88.969,4/4,0.547,-1.3877640440166605
Dance,Passion Pit,52,0.0336,0.819,230973,0.681,2.08e-06,G#,0.1,-6.423,Major,0.0308,108.989,4/4,0.93,13.556977029715954
Indie,Doja Cat,36,0.00184,0.556,211093,0.745,0.0,F#,0.367,-6.409,Minor,0.169,141.252,4/4,0.442,19.485699326410963
Opera,Franz Lehár,5,0.812,0.479,45693,0.204,0.0,D,0.5,-19.402,Major,0.125,97.148,3/4,0.481,17.722686136508315
Opera,Giacomo Puccini,21,0.964,0.326,327800,0.221,0.0213,C,0.279,-16.487,Major,0.0488,82.91,4/4,0.219,10.11033440103552
Rock,The Rolling Stones,52,0.0827,0.445,206467,0.821,0.238,C,0.0832,-4.442,Major,0.0331,111.215,4/4,0.598,11.047901734842336
Folk,Bon Iver,65,0.964,0.494,285160,0.372,0.0296,G,0.117,-11.89,Major,0.0331,116.855,4/4,0.25,2.924708060739581
Hip-Hop,Rage Against The Machine,70,0.0129,0.599,206200,0.957,7.06e-05,B,0.155,-5.764,Major,0.188,103.68,4/4,0.489,7.687959787368304
Hip-Hop,Katchafire,52,0.13,0.83,214293,0.55,0.136,G,0.073,-5.367,Major,0.0568,145.004,4/4,0.97,17.768267532896257
Children's Music,RKCB,56,0.872,0.561,260870,0.301,0.305,A,0.103,-10.896,Minor,0.041,137.995,4/4,0.0594,7.039991361466416
R&B,Kali Uchis,57,0.605,0.488,113270,0.381,0.0872,D#,0.0776,-8.095,Minor,0.0498,140.941,4/4,0.217,5.588187528775673
Country,Carlton Anderson,44,0.0812,0.619,217987,0.982,0.0,D,0.0942,-2.206,Major,0.0853,125.102,4/4,0.683,14.732088908934955
Pop,ABBA,65,0.287,0.75,215267,0.754,0.000207,D,0.444,-6.999,Major,0.0327,137.533,4/4,0.83,5.585015784654625
Rock,311,60,0.000387,0.576,238400,0.738,0.00131,B,0.13,-8.122,Major,0.0353,168.132,4/4,0.675,13.557730649431628
Movie,Henri Salvador,1,0.503,0.416,145640,0.44,0.0,D#,0.962,-15.706,Major,0.527,85.279,3/4,0.534,13.654514481266743
Children's Music,Evanescence,65,0.00193,0.45,214707,0.883,0.0,G,0.293,-4.094,Major,0.0524,93.41,4/4,0.328,3.5772706094049838
Dance,Borgeous,50,0.00568,0.649,282041,0.784,0.000474,F#,0.0878,-4.266,Minor,0.0325,127.985,4/4,0.289,13.684437085945696
Electronic,Ladytron,44,0.000277,0.451,215145,0.832,0.000553,E,0.115,-5.134,Minor,0.034,115.004,4/4,0.18,5.230392933951333
Pop,Shawn Mendes,67,0.596,0.473,215773,0.339,0.0,B,0.103,-6.039,Minor,0.0364,175.264,3/4,0.265,12.825979831446851
Children's Music,Empire of the Sun,61,0.287,0.745,250806,0.824,0.00103,C,0.0877,-4.607,Major,0.0368,102.024,4/4,0.596,4.955714051728371
R&B,Mýa,61,0.232,0.808,264933,0.504,0.0,D,0.171,-7.281,Major,0.0805,137.048,4/4,0.499,5.244959767179182
Dance,5 Seconds of Summer,70,0.0965,0.458,197411,0.561,0.0,A#,0.156,-4.819,Major,0.0269,149.875,3/4,0.206,1.2844158110455908
Reggae,Zion,22,0.0812,0.803,194720,0.83,0.0,B,0.0654,-3.123,Minor,0.115,93.977,4/4,0.772,16.085704313035034
Rap,Joey Bada$$,63,0.466,0.734,283690,0.649,0.0,G#,0.116,-6.235,Minor,0.313,95.1,4/4,0.158,8.006462336152245
Indie,HOMESHAKE,52,0.98,0.461,90946,0.00554,0.0,D,0.193,-28.843,Minor,0.0601,47.399,4/4,0.647,7.704035091944523
Soundtrack,Kaada,33,0.985,0.247,242640,0.228,0.914,F,0.142,-23.749,Major,0.0384,123.203,4/4,0.0876,9.769141633393417
Pop,Lil Dicky,58,0.182,0.906,262985,0.888,0.0,D,0.934,-7.275,Major,0.152,105.991,4/4,0.756,10.418728218546391
Reggae,Rawayana,36,0.0321,0.769,178680,0.684,0.0,F,0.119,-6.255,Minor,0.0425,94.005,4/4,0.936,10.83907240619993
Jazz,RJD2,52,0.0437,0.769,299320,0.613,0.00286,C#,0.0508,-6.059,Minor,0.205,81.96,4/4,0.502,5.015321529758246
Rap,Rage Against The Machine,61,0.00114,0.598,244693,0.939,9.26e-06,G,0.288,-3.663,Major,0.105,95.884,4/4,0.63,10.471124978681113
Rap,Lil Baby,51,0.0141,0.722,209440,0.602,0.0,C#,0.0745,-8.005,Major,0.143,140.049,4/4,0.496,11.851867345025994
Blues,Sidiki Diabaté,41,0.275,0.676,274344,0.665,0.248,G,0.0957,-6.953,Minor,0.0432,98.003,4/4,0.734,7.668223540693437
Soul,Jake Hope,51,0.53,0.792,190820,0.673,0.191,B,0.116,-10.906,Major,0.0529,122.049,4/4,0.0574,7.142177239823636
Pop,Jeremih,66,0.0392,0.717,255133,0.45,0.0,C,0.112,-7.035,Minor,0.0441,142.989,4/4,0.71,10.771127753170296
Ska,Guttermouth,45,0.00197,0.507,119067,0.988,0.00297,D,0.272,-2.603,Major,0.069,158.25,4/4,0.927,3.0842100148637734
Blues,Wendell B,22,0.44,0.608,291084,0.498,0.0,A,0.0765,-6.395,Major,0.306,180.1,4/4,0.453,19.01865347998095
Reggae,311,38,0.00804,0.67,184000,0.896,0.0,A,0.149,-9.509,Major,0.0922,101.61,4/4,0.505,7.763016088275822
Anime,"Fear, and Loathing in Las Vegas",52,0.00143,0.357,218573,0.98,0.0,F,0.196,-1.286,Minor,0.153,191.147,4/4,0.567,3.2054489456237434
Classical,Luigi Boccherini,42,0.977,0.358,387427,0.0441,0.871,C,0.105,-21.957,Major,0.0417,114.818,3/4,0.238,3.108476048071605
Blues,Ronnie Earl,29,0.745,0.613,288240,0.28,0.154,C,0.0796,-17.901,Major,0.041,123.533,3/4,0.612,13.425545908067358
World,Beats Antique,25,0.00588,0.794,247200,0.542,0.423,G,0.0794,-8.599,Major,0.0879,133.256,4/4,0.307,12.246939944591611
Movie,Idina Menzel,4,0.903,0.569,227556,0.422,1.14e-06,A,0.0901,-4.642,Major,0.0377,99.714,4/4,0.39,23.95376335794109
R&B,Rina Sawayama,44,0.0112,0.516,244078,0.883,0.0,C#,0.376,-3.855,Minor,0.0469,108.012,4/4,0.58,13.09168010036172
Reggae,Eladio Carrion,59,0.0261,0.93,225096,0.544,0.0,C,0.0457,-6.893,Major,0.0634,126.019,4/4,0.26,1.7400191141317194
Reggae,Dandy Livingstone,43,0.3,0.76,155893,0.439,1.27e-05,A#,0.0944,-10.126,Major,0.128,166.41,4/4,0.769,7.1875221271867575
Reggae,Tash Sultana,51,0.541,0.279,410998,0.3,0.000546,D#,0.179,-9.34,Minor,0.0307,86.803,4/4,0.129,5.568367486452473
Alternative,Mazzy Star,46,0.537,0.338,314753,0.456,0.331,C,0.0925,-10.008,Major,0.027,171.819,4/4,0.347,8.824842068332039
Reggae,Spragga Benz,33,0.0216,0.791,145574,0.771,0.589,F#,0.073,-6.935,Minor,0.186,121.936,4/4,0.951,13.334300512449355
Soul,Anthony Hamilton,37,0.359,0.457,265400,0.551,0.0,C,0.47,-6.183,Major,0.103,179.139,3/4,0.153,13.354398453573575
Anime,BRADIO,38,0.137,0.656,227936,0.78,0.0,F,0.0764,-3.588,Minor,0.0377,131.026,4/4,0.78,2.7303606345415354
Jazz,Keith Jarrett,55,0.662,0.546,407587,0.322,0.0299,C,0.76,-19.111,Major,0.037,96.07,4/4,0.488,4.892594954820855
Reggae,Revol,51,0.25,0.86,224380,0.763,0.0,D#,0.104,-4.651,Minor,0.0783,139.979,4/4,0.685,4.182908964012543
Rock,New Order,66,0.0804,0.613,263213,0.885,0.746,A#,0.0997,-7.463,Major,0.052,118.506,4/4,0.919,6.571316486347537
Dance,Swedish House Mafia,60,0.0075,0.802,169920,0.781,0.825,C,0.147,-6.564,Major,0.0368,125.026,4/4,0.622,4.907793322887748
Rock,Sjowgren,62,0.327,0.609,225360,0.728,0.0851,G,0.0569,-5.859,Major,0.0419,146.016,4/4,0.322,6.46558429457891
R&B,K-Ci & JoJo,44,0.295,0.671,277000,0.68,0.0,C,0.543,-3.875,Minor,0.0345,131.905,4/4,0.384,11.084589839361874
Alternative,Newsboys,44,0.00295,0.372,190800,0.909,0.0,C#,0.108,-4.561,Minor,0.066,169.985,4/4,0.401,10.234556291307875
Indie,khai dreams,53,0.818,0.7,184294,0.374,0.0,C#,0.108,-13.278,Major,0.0687,88.028,4/4,0.279,10.292575002231485
Anime,negoto,17,0.172,0.566,294587,0.717,0.000551,A#,0.0821,-5.015,Major,0.0461,106.977,4/4,0.285,11.641662088353748
Blues,Eric Clapton,33,0.0445,0.519,415067,0.952,0.0911,D,0.729,-6.068,Major,0.0853,116.061,4/4,0.687,11.684450789043126
Rap,JAY Z,67,0.436,0.646,336133,0.718,1.86e-06,C#,0.173,-4.898,Minor,0.412,82.535,4/4,0.822,3.864224536580887
Opera,Giacomo Puccini,4,0.967,0.108,194933,0.247,0.858,A,0.131,-18.293,Major,0.0376,85.155,4/4,0.0808,20.483341491541243
Pop,Chase Atlantic,63,0.0503,0.518,196767,0.572,2.41e-05,A#,0.129,-6.706,Minor,0.0416,130.053,4/4,0.291,13.289690247032388
Children's Music,Radha,1,0.214,0.869,118787,0.266,8.26e-06,G,0.0678,-10.856,Major,0.36,146.082,4/4,0.672,23.02500255456894
Rap,Wiz Khalifa,60,0.0509,0.608,168389,0.649,0.0,A#,0.321,-5.497,Minor,0.294,132.944,4/4,0.658,12.177027758233857
Country,Corey Smith,46,0.729,0.548,268960,0.662,3.98e-06,D,0.966,-6.934,Major,0.0366,103.827,4/4,0.528,11.542762328427079
Comedy,Lewis Black,18,0.874,0.472,200867,0.893,0.0,D,0.804,-9.176,Major,0.873,98.211,3/4,0.0351,10.555427874915264
Reggae,Bounty Killer,32,0.532,0.485,212693,0.577,0.0,A,0.193,-6.31,Minor,0.256,84.265,4/4,0.725,13.63878440229336
Opera,Giuseppe Verdi,4,0.989,0.256,295280,0.0376,0.000604,F,0.0572,-23.36,Minor,0.0679,72.645,5/4,0.0516,24.59325744155359
Ska,The Specials,31,0.0657,0.596,129027,0.88,0.00307,D,0.904,-6.829,Major,0.0492,155.197,4/4,0.925,4.976835979129792
Reggae,Benny Benni,61,0.294,0.746,371232,0.872,0.0,A,0.223,-3.62,Major,0.149,86.242,4/4,0.889,5.360425017663087
Classical,Gustav Mahler,26,0.929,0.162,762840,0.308,0.633,F,0.106,-14.315,Major,0.0453,83.372,4/4,0.045,9.701196128503737
Blues,The Black Keys,36,0.103,0.223,199707,0.958,0.794,D,0.277,-4.738,Major,0.136,113.857,4/4,0.236,11.65295437885633
Children's Music,Children Songs Company,0,0.992,0.667,136653,0.407,0.0,G#,0.313,-9.174,Major,0.343,95.027,3/4,0.773,19.26584119380369
Anime,Rozen,12,0.513,0.681,233000,0.259,0.148,F,0.36,-17.813,Major,0.0415,119.993,4/4,0.23,14.163628094035223
Country,Kip Moore,52,0.123,0.714,208787,0.523,0.0,G#,0.0619,-6.044,Major,0.0391,79.991,4/4,0.363,5.3240326190136615
Comedy,Eugene Mirman,22,0.805,0.62,150600,0.382,0.0,G#,0.824,-16.187,Minor,0.935,93.757,3/4,0.606,8.618462312570168
Blues,Kenny Wayne Shepherd,25,0.0421,0.114,354880,0.912,0.0364,A,0.995,-7.74,Major,0.107,173.45,4/4,0.613,13.209049682237522
Reggae,Joey Montana,33,0.0182,0.64,228867,0.814,0.0,C#,0.272,-4.677,Major,0.165,128.059,4/4,0.556,13.920287762687346
Hip-Hop,DeJ Loaf,61,0.147,0.816,241267,0.535,4.53e-06,A,0.176,-8.302,Major,0.338,80.012,4/4,0.435,6.331566272303841
Pop,Harry Styles,74,0.658,0.468,243805,0.197,0.0,E,0.109,-11.727,Major,0.033,144.212,3/4,0.249,5.311529229400359
Dance,Keith Sweat,47,0.0113,0.638,316667,0.599,0.0,C,0.122,-8.19,Minor,0.0494,119.725,4/4,0.627,10.00407333339257
Folk,"10,000 Maniacs",52,0.0218,0.611,219893,0.833,0.000204,D#,0.0923,-7.554,Major,0.0351,108.498,4/4,0.793,8.47510922245768
Rock,Dinosaur Jr.,59,0.00331,0.34,259600,0.804,0.0191,C,0.0727,-8.355,Major,0.0516,131.5,4/4,0.854,6.417212742456717
R&B,Atlantic Starr,42,0.381,0.573,320667,0.206,0.0,C,0.052,-18.347,Major,0.0359,74.929,4/4,0.139,9.708461158523876
Opera,Gustave Charpentier,9,0.971,0.232,287200,0.14,0.00446,G,0.109,-15.093,Major,0.0408,86.985,4/4,0.0373,16.16366950016165
Ska,The Supervillains,18,6.77e-05,0.639,123427,0.954,0.0285,B,0.118,-12.747,Major,0.0458,123.979,4/4,0.917,10.814429369772682
Country,Upchurch,44,0.081,0.793,173383,0.661,0.0,C#,0.123,-8.611,Major,0.0807,133.974,4/4,0.155,10.235829862906568
Ska,Los Pericos,41,0.237,0.667,232245,0.879,2.59e-05,E,0.909,-6.464,Minor,0.173,104.961,4/4,0.596,9.897366788725215
Classical,Symphony X,37,0.00584,0.439,392467,0.801,0.0,C,0.317,-5.415,Major,0.0342,146.008,3/4,0.297,9.86418305091444
R&B,Yo Trane,57,0.656,0.518,240148,0.45,1.41e-06,G#,0.0828,-11.284,Major,0.0622,100.937,4/4,0.151,4.067952308282098
Jazz,Sonny Rollins,53,0.913,0.493,447560,0.0421,0.173,D,0.0777,-18.071,Major,0.0347,102.074,4/4,0.172,5.461266723341038
Reggae,Raes,37,0.237,0.824,167705,0.739,2.71e-05,A,0.64,-5.02,Major,0.045,102.032,4/4,0.337,13.50491700803677
Electronic,Flux Pavilion,34,0.0143,0.502,268000,0.869,0.00691,F,0.291,-3.899,Minor,0.0981,150.119,4/4,0.415,10.436495801082655
Comedy,Jay Mohr,12,0.869,0.561,218969,0.648,0.0,F#,0.287,-17.422,Minor,0.903,118.725,5/4,0.172,13.639696892704213
Anime,Project Destati,35,0.965,0.339,230171,0.21,0.703,F,0.104,-10.549,Major,0.0338,127.812,4/4,0.0826,8.20655850059163
Soundtrack,Jeremy Soule,33,0.99,0.229,110341,0.0299,0.97,D,0.202,-32.439,Minor,0.0487,90.83,3/4,0.0649,10.282354602763808
Rock,Elton John,51,0.00172,0.686,191288,0.712,0.0,G,0.308,-6.418,Major,0.0843,150.005,4/4,0.788,14.439194327836034
Movie,Richard M. Sherman,5,0.858,0.421,296947,0.637,0.69,D#,0.244,-12.564,Major,0.0611,122.616,4/4,0.628,14.879615443391666
Comedy,Tim Wilson,11,0.837,0.607,46173,0.806,1.44e-06,C#,0.736,-9.598,Minor,0.922,49.862,3/4,0.884,13.58668148870973
Indie,Bon Iver,65,0.979,0.676,401413,0.0812,0.416,D,0.118,-22.846,Major,0.0398,125.053,4/4,0.314,5.047031763257901
Comedy,Pablo Francisco,16,0.839,0.508,181173,0.956,0.0,F#,0.74,-7.845,Major,0.929,86.678,4/4,0.174,11.259256753985062
Pop,Bebe Rexha,60,0.0451,0.637,263960,0.664,8.57e-06,D#,0.0976,-7.335,Minor,0.0388,128.009,4/4,0.361,11.410579955805995
Hip-Hop,Jamie Foxx,55,0.394,0.593,269533,0.393,3.24e-06,C#,0.11,-11.736,Major,0.0827,136.866,4/4,0.193,13.315883125789043
Children's Music,Third Eye Blind,75,0.00832,0.64,268360,0.864,0.0,G,0.123,-6.576,Major,0.0315,102.026,4/4,0.7,-6.868225724755992
Comedy,Alonzo Bodden,12,0.938,0.68,310227,0.592,0.0,F,0.621,-11.693,Major,0.958,78.205,4/4,0.173,12.093413758642868
Pop,Weezer,59,0.0015,0.614,241933,0.931,0.000313,E,0.127,-2.344,Minor,0.0268,125.981,4/4,0.727,13.563086823372927
Hip-Hop,Meek Mill,60,0.187,0.92,255483,0.53,0.0,E,0.103,-7.399,Minor,0.341,123.968,4/4,0.363,14.00531237592552
Country,Kenny Chesney,40,0.838,0.521,316053,0.366,0.00466,D,0.134,-9.939,Major,0.0352,76.61,4/4,0.194,11.587574449334147
Indie,YUNGBLUD,60,0.00722,0.667,202787,0.729,0.0,A,0.332,-5.608,Minor,0.0715,129.985,4/4,0.287,7.412625703114884
Jazz,Miles Davis,35,0.755,0.257,395253,0.14,0.442,D,0.088,-19.46,Major,0.0379,92.319,4/4,0.0733,12.005066891903093
Soul,Jackie Ross,34,0.52,0.624,200200,0.593,5.33e-06,G,0.122,-7.536,Major,0.0373,116.334,4/4,0.776,17.781907642247727
Blues,The Yawpers,38,0.0189,0.374,180587,0.951,0.0112,A#,0.0933,-4.4,Minor,0.113,132.835,4/4,0.48,6.988085449039107
Ska,The Skints,33,0.469,0.605,193240,0.659,6.23e-05,D#,0.0643,-5.501,Minor,0.0895,105.032,4/4,0.709,10.543976496973913
Children's Music,Music Together,16,0.748,0.646,79305,0.134,0.0,C,0.0817,-12.652,Major,0.0897,134.842,4/4,0.708,7.780118484928555
Opera,Jean-Philippe Rameau,8,0.963,0.428,111240,0.284,0.0892,F#,0.207,-21.832,Minor,0.0328,94.073,4/4,0.872,23.70988296160763
Children's Music,Röyksopp,53,0.024,0.865,219560,0.384,0.434,A#,0.0682,-11.953,Major,0.0577,122.48,4/4,0.852,8.592328942267129
Electronic,Kompany,34,0.119,0.403,268800,0.948,0.000902,B,0.219,-2.868,Major,0.389,74.907,4/4,0.196,7.576750696050304
Soul,Nina Simone,47,0.197,0.46,314840,0.88,0.000457,F#,0.0663,-10.02,Major,0.0452,168.173,4/4,0.858,9.662543120890573
Reggae,Bob Marley & The Wailers,48,0.166,0.934,298667,0.5,0.0131,E,0.0708,-8.194,Minor,0.071,134.211,4/4,0.962,8.12198435981311
Dance,Jonas Brothers,43,0.0248,0.572,176560,0.885,0.0,D,0.182,-3.534,Major,0.0401,95.096,4/4,0.763,13.685825697144674
Opera,Gaetano Donizetti,4,0.823,0.435,154987,0.481,0.000209,G,0.7,-19.495,Major,0.541,117.461,4/4,0.574,17.146914615245812
Reggae,Michael Franti & Spearhead,26,0.04,0.757,236160,0.979,4.99e-06,F,0.15,-5.367,Minor,0.0713,93.015,4/4,0.947,13.782213891460515
Alternative,Still Woozy,55,0.216,0.751,127044,0.473,0.0774,C#,0.267,-11.458,Major,0.199,147.437,4/4,0.868,7.210766098589628
World,Gateway Worship,33,0.493,0.431,404088,0.427,0.0,D,0.18,-8.406,Major,0.0311,137.873,4/4,0.0863,6.704310582369897
Jazz,Bill Charlap,43,0.875,0.527,544413,0.0671,0.68,D,0.105,-22.068,Minor,0.0348,93.963,4/4,0.219,10.935480007591785
Rap,Drake,58,0.105,0.602,283307,0.849,0.0,F,0.155,-4.141,Major,0.299,89.716,4/4,0.319,10.551316370361159
Movie,Bruce Broughton,0,0.993,0.461,157627,0.226,0.872,A#,0.285,-23.251,Minor,0.0384,92.06,4/4,0.577,16.00403843800768
Ska,Teenage Bottlerocket,22,0.0111,0.338,156413,0.984,1.43e-05,A,0.208,-4.718,Major,0.145,183.834,4/4,0.462,11.758566524659207
Hip-Hop,Russ,58,0.243,0.862,267613,0.33,0.0,D#,0.0608,-10.619,Minor,0.241,88.026,4/4,0.954,10.633501745622269
Classical,Edvard Grieg,36,0.992,0.345,199133,0.0646,0.894,F#,0.0831,-23.952,Major,0.056,66.92,4/4,0.038,3.930135064542585
Alternative,Sugar Ray,54,0.0105,0.745,242800,0.682,0.0862,C#,0.21,-4.39,Minor,0.0287,110.857,4/4,0.938,6.491537821471478
Electronic,Wiwek,37,0.175,0.765,208277,0.859,0.00927,C,0.141,-4.357,Major,0.0967,140.096,4/4,0.289,10.210671433318888
Electronic,Fabian Mazur,41,0.0284,0.566,198400,0.824,2.19e-06,G#,0.11,-3.906,Minor,0.0862,149.876,4/4,0.291,6.92284273565776
Country,Aaron Watson,52,0.0416,0.67,175400,0.803,0.0,E,0.269,-5.628,Major,0.0324,144.95,4/4,0.815,9.497094871681968
Country,Gloriana,47,0.247,0.651,266973,0.696,0.0,A,0.114,-6.611,Major,0.0331,112.988,4/4,0.441,7.87859297460813
R&B,Curlybamm,40,0.505,0.756,211148,0.544,0.0,G#,0.17,-10.673,Major,0.277,92.468,4/4,0.823,12.353241426157545
Opera,Jean-Baptiste Lully,22,0.638,0.427,151613,0.149,0.185,G,0.618,-17.535,Minor,0.0367,58.101,4/4,0.35,7.474214011193223
Rap,YG,53,0.0539,0.634,148507,0.553,0.0,C#,0.65,-7.539,Major,0.377,201.911,4/4,0.641,11.170703142279265
Hip-Hop,2 Chainz,59,0.0473,0.936,207040,0.702,0.0,A#,0.0838,-5.305,Major,0.0615,97.524,4/4,0.704,13.017933266239703
Children's Music,Third Eye Blind,48,0.0127,0.389,255467,0.752,8.35e-06,C,0.184,-4.48,Major,0.0794,193.662,4/4,0.436,10.48925328513583
Indie,The Killers,75,0.000152,0.467,220427,0.988,0.0484,B,0.28,-3.313,Major,0.112,130.435,4/4,0.321,2.478286316460507
World,Boubacar Traoré,32,0.76,0.554,463947,0.662,0.0166,A#,0.0623,-8.724,Minor,0.0723,77.998,4/4,0.795,11.814564759043442
Electronic,Underworld,35,0.0485,0.501,704707,0.716,0.903,G#,0.18,-9.773,Major,0.0403,130.106,4/4,0.693,10.69567190773161
Children's Music,State Champs,50,0.000661,0.622,179600,0.961,1.41e-06,G#,0.102,-2.993,Major,0.0529,110.995,4/4,0.744,7.57885444923119
Rock,The Decemberists,52,0.0249,0.494,256560,0.836,0.0,G,0.457,-4.327,Major,0.0531,142.56,4/4,0.627,12.403193391430483
Anime,BUMP OF CHICKEN,40,0.00299,0.583,265720,0.818,0.0,F#,0.196,-5.325,Major,0.0285,110.03,4/4,0.563,4.05596079368836
Dance,Ariana Grande,76,0.0152,0.637,194840,0.733,0.0,G,0.162,-4.387,Minor,0.0553,131.005,4/4,0.432,3.8842533870556863
Rap,MiMS,57,0.277,0.621,253707,0.6,0.0,G#,0.495,-6.349,Major,0.576,80.021,4/4,0.485,9.282068669669206
Dance,Flo Rida,54,0.0371,0.738,252933,0.868,0.0,C#,0.294,-4.15,Major,0.0348,130.003,4/4,0.199,8.549883068833665
Electronic,Blockhead,29,0.067,0.719,228000,0.483,0.0,A#,0.208,-16.439,Minor,0.189,79.98,4/4,0.535,11.62913566585113
Blues,Susan Tedeschi,29,0.519,0.631,284440,0.474,0.00123,G#,0.102,-6.666,Major,0.0353,106.5,4/4,0.442,9.75324267146103
Jazz,Moonchild,33,0.744,0.55,84347,0.31,0.124,A#,0.269,-13.415,Major,0.29,82.336,4/4,0.445,10.626611396413468
Ska,Operation Ivy,36,0.129,0.498,114133,0.931,0.0,D,0.368,-4.585,Major,0.102,87.641,4/4,0.807,13.035024610754292
Dance,Hot Chip,52,0.113,0.715,329169,0.64,0.0418,D,0.0848,-7.168,Major,0.0317,113.507,4/4,0.4,13.638062243856035
Pop,Jess Glynne,59,0.292,0.558,265382,0.451,0.0,A,0.101,-6.163,Major,0.0388,150.008,4/4,0.238,11.76102359704636
Ska,The Aquabats!,24,0.0175,0.602,220293,0.834,2.37e-05,F#,0.104,-13.97,Major,0.0613,100.909,4/4,0.64,9.750810462439048
